code,recommendation,entry_datetime,exit_datetime,timezone,entry_price,exit_price,status,gain_loss_pct
700.HK,BUY,2026-03-18 11:00:00,2026-03-19 09:30,HKT,545.0,528.65,LOSS,-3.000000000000004
700.HK,SELL,2026-03-24 11:00:00,2026-03-26 11:00,HKT,507.0,500.5,PENDING,
700.HK,SELL,2026-03-24 15:00:00,2026-03-26 10:37,HKT,515.5,500.04,GAIN,2.9990300678952435
700.HK,SELL,2026-03-25 11:00:00,2026-03-27 09:49,HKT,505.0,489.85,GAIN,2.9999999999999956
700.HK,SELL,2026-03-25 15:00:00,2026-03-27 09:50,HKT,503.5,488.4,GAIN,2.99900695134062
700.HK,SELL,2026-03-26 11:00:00,2026-03-27 16:08,HKT,500.5,493.3999938964844,PENDING,
883.HK,BUY,2026-03-16 11:00:00,2026-03-17 11:12,HKT,29.18,28.3,LOSS,-3.0157642220699077
883.HK,BUY,2026-03-17 11:00:00,2026-03-17 14:16,HKT,28.34,29.19,GAIN,2.9992942836979584
883.HK,BUY,2026-03-17 15:00:00,2026-03-18 10:30,HKT,28.96,28.09,LOSS,-3.0041436464088433
883.HK,BUY,2026-03-18 11:00:00,2026-03-19 09:30,HKT,28.02,28.86,GAIN,2.997858672376873
883.HK,BUY,2026-03-19 15:00:00,2026-03-20 16:08,HKT,29.56,30.3799991607666,PENDING,
883.HK,BUY,2026-03-24 11:00:00,2026-03-25 09:30,HKT,29.72,28.83,LOSS,-2.9946164199192484
883.HK,BUY,2026-03-24 15:00:00,2026-03-25 09:30,HKT,29.2,28.32,LOSS,-3.013698630136983
981.HK,SELL,2026-03-19 15:00:00,2026-03-20 13:17,HKT,60.0,58.2,GAIN,2.9999999999999956
981.HK,SELL,2026-03-24 15:00:00,2026-03-25 09:36,HKT,55.05,56.7,LOSS,-2.9972752043596835
981.HK,SELL,2026-03-25 11:00:00,2026-03-26 11:17,HKT,56.05,54.37,GAIN,2.997323818019625
981.HK,SELL,2026-03-25 15:00:00,2026-03-26 10:57,HKT,56.15,54.47,GAIN,2.9919857524487976
981.HK,SELL,2026-03-26 11:00:00,2026-03-27 09:30,HKT,53.95,52.33,GAIN,3.002780352177951
981.HK,SELL,2026-03-26 15:00:00,2026-03-27 16:08,HKT,53.1,52.5,PENDING,
981.HK,SELL,2026-03-30 11:00:00,2026-03-31 16:08,HKT,51.4,50.70000076293945,PENDING,
981.HK,SELL,2026-03-30 15:00:00,2026-03-31 10:08,HKT,50.85,52.38,LOSS,-3.008849557522126
9926.HK,BUY,2026-03-15 11:00:00,2026-03-16 10:08,HKT,110.2,113.51,GAIN,3.0036297640653378
9926.HK,BUY,2026-03-16 11:00:00,2026-03-17 10:14,HKT,114.8,118.24,GAIN,2.9965156794425067
9926.HK,BUY,2026-03-16 15:00:00,2026-03-17 10:32,HKT,116.7,120.2,GAIN,2.999143101970865
9926.HK,BUY,2026-03-18 11:00:00,2026-03-20 11:00,HKT,119.0,116.69999694824219,PENDING,
9926.HK,BUY,2026-03-18 15:00:00,2026-03-19 09:54,HKT,120.7,117.08,LOSS,-2.9991714995857532
9926.HK,BUY,2026-03-19 11:00:00,2026-03-20 14:41,HKT,118.8,115.24,LOSS,-2.9966329966329983
9926.HK,BUY,2026-03-19 15:00:00,2026-03-20 16:08,HKT,117.1,115.5999984741211,PENDING,
9926.HK,BUY,2026-03-20 11:00:00,2026-03-20 15:02,HKT,118.0,114.46,LOSS,-3.0000000000000053
9926.HK,BUY,2026-03-20 15:00:00,2026-03-20 16:08,HKT,115.4,115.5999984741211,PENDING,
9926.HK,BUY,2026-03-21 11:00:00,2026-03-23 09:30,HKT,115.6,112.13,LOSS,-3.0017301038062274
9926.HK,BUY,2026-03-26 15:00:00,2026-03-27 09:30,HKT,123.3,119.6,LOSS,-3.0008110300081126
9926.HK,BUY,2026-03-27 11:00:00,2026-03-27 14:54,HKT,124.3,128.03,GAIN,3.0008045052292873
9926.HK,BUY,2026-03-27 15:00:00,2026-03-27 16:08,HKT,126.3,126.4000015258789,PENDING,
9926.HK,BUY,2026-03-28 11:00:00,2026-03-30 09:31,HKT,126.1,129.88,GAIN,2.997620935765267
9988.HK,SELL,2026-03-24 11:00:00,2026-03-25 09:30,HKT,121.3,124.94,LOSS,-3.0008244023083273
9988.HK,SELL,2026-03-24 15:00:00,2026-03-25 13:36,HKT,123.5,127.2,LOSS,-2.995951417004051
9988.HK,SELL,2026-03-25 11:00:00,2026-03-25 13:37,HKT,124.0,127.72,LOSS,-2.999999999999999
9988.HK,SELL,2026-03-25 15:00:00,2026-03-26 09:52,HKT,129.2,125.32,GAIN,3.0030959752321946
9988.HK,SELL,2026-03-26 11:00:00,2026-03-27 16:08,HKT,124.2,122.5999984741211,PENDING,
9988.HK,SELL,2026-03-26 15:00:00,2026-03-27 16:08,HKT,122.9,122.5999984741211,PENDING,
9988.HK,SELL,2026-03-27 11:00:00,2026-03-27 16:08,HKT,123.0,122.5999984741211,PENDING,
9988.HK,SELL,2026-03-30 15:00:00,2026-03-31 16:08,HKT,120.3,119.0,PENDING,
9992.HK,SELL,2026-03-15 11:00:00,2026-03-16 09:56,HKT,204.8,210.94,LOSS,-2.9980468749999933
9992.HK,SELL,2026-03-16 11:00:00,2026-03-17 09:44,HKT,210.4,216.71,LOSS,-2.9990494296577954
9992.HK,BUY,2026-03-18 11:00:00,2026-03-19 13:51,HKT,221.2,214.56,LOSS,-3.0018083182640085
9992.HK,BUY,2026-03-19 11:00:00,2026-03-20 10:13,HKT,217.0,210.49,LOSS,-2.9999999999999956
9992.HK,BUY,2026-03-19 15:00:00,2026-03-20 16:08,HKT,214.0,209.60000610351562,PENDING,
9992.HK,SELL,2026-03-24 11:00:00,2026-03-24 14:35,HKT,208.0,214.24,LOSS,-3.0000000000000044
9992.HK,SELL,2026-03-30 11:00:00,2026-03-30 11:00,HKT,149.9,145.4,GAIN,3.002001334222815
9992.HK,SELL,2026-03-30 15:00:00,2026-03-31 10:32,HKT,148.0,143.56,GAIN,2.9999999999999987
aapl,SELL,2026-03-21 04:00:00,2026-03-20 15:59,EDT,248.19,248.19000244140625,PENDING,
alb,SELL,2026-03-21 04:00:00,2026-03-20 09:30,EDT,156.65,161.35,LOSS,-3.0003191828917894
alb,SELL,2026-03-23 22:00:00,2026-03-24 09:35,EDT,169.79,164.7,GAIN,2.9978208375051554
alb,BUY,2026-03-27 04:00:00,2026-03-27 09:37,EDT,174.49,179.72,GAIN,2.9973064358988992
alb,BUY,2026-03-27 22:00:00,2026-03-27 15:59,EDT,180.52,179.3699951171875,PENDING,
alb,BUY,2026-03-28 04:00:00,2026-03-27 15:59,EDT,179.37,179.3699951171875,PENDING,
alb,BUY,2026-03-30 22:00:00,2026-03-30 15:59,EDT,180.51,177.25,PENDING,
nvda,SELL,2026-03-23 22:00:00,2026-03-25 10:00,EDT,177.88,178.09500122070312,PENDING,
nvda,SELL,2026-03-24 04:00:00,2026-03-25 10:48,EDT,175.51,180.78,LOSS,-3.002677910090599
nvda,SELL,2026-03-24 22:00:00,2026-03-25 09:36,EDT,174.25,179.48,LOSS,-3.0014347202295495
nvda,SELL,2026-03-25 04:00:00,2026-03-25 10:44,EDT,175.31,180.57,LOSS,-3.0003992926815304
nvda,SELL,2026-03-25 22:00:00,2026-03-26 10:37,EDT,180.06,174.66,GAIN,2.9990003332222623
nvda,SELL,2026-03-27 04:00:00,2026-03-27 15:59,EDT,171.23,167.4600067138672,PENDING,
pdd,SELL,2026-03-23 22:00:00,2026-03-25 09:30,EDT,96.19,99.08,LOSS,-3.0044703191599966
pdd,SELL,2026-03-24 22:00:00,2026-03-25 09:30,EDT,96.58,99.48,LOSS,-3.0026920687513003
pdd,SELL,2026-03-25 04:00:00,2026-03-25 09:30,EDT,98.2,101.15,LOSS,-3.0040733197556038
tsla,SELL,2026-03-23 22:00:00,2026-03-25 09:36,EDT,383.36,394.86,LOSS,-2.9997913188647742
tsla,SELL,2026-03-24 04:00:00,2026-03-25 09:30,EDT,380.85,392.28,LOSS,-3.001181567546265
tsla,SELL,2026-03-24 22:00:00,2026-03-25 09:37,EDT,384.56,396.1,LOSS,-3.0008321198252603
tsla,SELL,2026-03-25 04:00:00,2026-03-25 09:36,EDT,383.11,394.6,LOSS,-2.9991386285923127
